"Gene","Length","RPF","mRNA","uATG","Chromosome","Size"
"YBL042C",639,52.38,79.95,TRUE,"Chr-9",0.51
"YBL045C",457,128.56,121.69,TRUE,"Chr-15",0.64
"YBL046W",441,28.08,24.89,TRUE,"Chr-12",0.53
"YBL047C",1381,135.15,170.63,FALSE,"Chr-6",0.6
"YBL050W",292,202.71,137.87,TRUE,"Chr-3",0.8
"YBL051C",668,77.82,97.1,TRUE,"Chr-8",0.65
"YBL052C",831,5.66,38.97,FALSE,"Chr-16",0.8
"YBL054W",525,29.45,32.53,FALSE,"Chr-1",0.67
"YBL055C",418,25.58,43.92,FALSE,"Chr-9",0.73
"YBL056W",468,125.77,217.37,FALSE,"Chr-4",0.67
"YBL057C",208,85.41,103.87,FALSE,"Chr-11",0.64
"YBL058W",423,200.82,173.47,TRUE,"Chr-12",0.54
"YBL059CA",109,103.72,85.79,FALSE,"Chr-11",0.61
"YBL059W",193,17.46,22.95,FALSE,"Chr-7",0.69
"YBL060W",687,10.17,17.26,FALSE,"Chr-14",0.51
"YBL061C",696,40.11,69.23,TRUE,"Chr-7",0.63
"YBL063W",1111,8.86,24.72,TRUE,"Chr-1",0.58
"YBL064C",261,132.34,116.34,TRUE,"Chr-16",0.75
"YBL066C",1148,5.1,17.83,TRUE,"Chr-8",0.69
"YBL067C",747,21.72,71.68,TRUE,"Chr-11",0.59
"YBL068W",326,91.66,101.9,FALSE,"Chr-14",0.57
"YBL069W",429,50.64,44.74,FALSE,"Chr-14",0.57
"YBL071WA",82,166.8,112.23,TRUE,"Chr-8",0.62
"YBL074C",355,18.18,28.42,TRUE,"Chr-2",0.63
"YBL076C",1072,484.32,786.07,TRUE,"Chr-3",0.62
"YBL078C",117,54.38,29.02,FALSE,"Chr-1",0.7
"YBL079W",1502,34.2,102.76,TRUE,"Chr-5",0.67
"YBL080C",541,8.61,16.56,TRUE,"Chr-6",0.77
"YBL082C",458,30.63,55.02,FALSE,"Chr-10",0.74
"YBL085W",980,27.58,52.08,TRUE,"Chr-1",0.51
"YBL086C",466,19.65,21.23,FALSE,"Chr-14",0.61
"YBL088C",2787,1.59,20.5,FALSE,"Chr-1",0.8
"YBL089W",459,18.07,25.63,FALSE,"Chr-7",0.72
"YBL090W",177,84.23,66.73,TRUE,"Chr-11",0.7
"YBL091C",421,181.94,172.9,TRUE,"Chr-1",0.64
"YBL091CA",175,36.32,29.53,TRUE,"Chr-8",0.63
"YBL092W",130,9582.88,6165.91,TRUE,"Chr-12",0.79
"YBL093C",220,85.08,76.73,TRUE,"Chr-9",0.79
"YBL095W",270,8.64,42.65,TRUE,"Chr-5",0.64
"YBL097W",754,18.34,27.15,FALSE,"Chr-5",0.54
"YBL098W",460,31.23,38.3,TRUE,"Chr-5",0.8
"YBL099W",545,560.29,480.23,FALSE,"Chr-6",0.67
"YBL101C",1117,15.97,39.7,FALSE,"Chr-13",0.6
"YBL102W",215,95.5,115.37,TRUE,"Chr-1",0.67
"YBL103C",486,21.92,25.01,FALSE,"Chr-8",0.57
"YBL104C",1038,11.63,33.33,TRUE,"Chr-13",0.65
"YBL105C",1151,25.76,57.94,FALSE,"Chr-5",0.58
"YBL106C",1010,7.83,23.19,FALSE,"Chr-9",0.72
"YBL107C",196,42.15,49.72,TRUE,"Chr-14",0.63
"YBR001C",780,26.04,50.73,FALSE,"Chr-8",0.57
"YBR002C",286,40.3,53.17,TRUE,"Chr-14",0.62
"YBR003W",473,28.52,54.21,TRUE,"Chr-11",0.75
"YBR004C",433,20.23,31.37,TRUE,"Chr-12",0.54
"YBR005W",213,16.09,23.8,TRUE,"Chr-16",0.7
"YBR006W",497,18.97,19.41,FALSE,"Chr-3",0.76
"YBR007C",736,11.01,19.79,FALSE,"Chr-2",0.53
"YBR011C",287,2665.54,1719.62,TRUE,"Chr-16",0.76
"YBR013C",129,26.32,42.35,FALSE,"Chr-5",0.64
"YBR014C",203,124.38,86.55,FALSE,"Chr-12",0.78
"YBR015C",597,117.01,165.86,TRUE,"Chr-16",0.69
"YBR016W",128,359.39,129.96,FALSE,"Chr-6",0.78
"YBR017C",918,81.31,135.64,FALSE,"Chr-11",0.61
"YBR021W",633,10.96,17.65,FALSE,"Chr-10",0.6
"YBR022W",177,58.42,45.04,TRUE,"Chr-10",0.58
"YBR023C",1165,35.34,79.04,FALSE,"Chr-13",0.74
"YBR024W",301,25.55,23.05,FALSE,"Chr-9",0.72
"YBR025C",394,1057.4,904.49,TRUE,"Chr-3",0.76
"YBR026C",380,99.9,78.23,TRUE,"Chr-9",0.63
"YBR028C",525,27.36,50.9,TRUE,"Chr-1",0.77
"YBR029C",457,74.22,98.22,TRUE,"Chr-13",0.79
"YBR030W",552,13.8,35.13,TRUE,"Chr-10",0.69
"YBR034C",348,161.98,172.39,TRUE,"Chr-13",0.57
"YBR035C",228,306.82,207.44,TRUE,"Chr-4",0.61
"YBR036C",410,118.82,132.28,FALSE,"Chr-13",0.74
"YBR037C",295,42.17,40.71,FALSE,"Chr-4",0.65
"YBR038W",963,53.09,71.24,TRUE,"Chr-14",0.68
"YBR039W",311,259.08,203.82,TRUE,"Chr-8",0.65
"YBR041W",669,42.4,72.17,TRUE,"Chr-9",0.75
"YBR042C",397,33.29,60.37,FALSE,"Chr-16",0.66
"YBR043C",689,5.67,26.79,TRUE,"Chr-14",0.75
"YBR044C",572,8.89,27.88,FALSE,"Chr-3",0.69
"YBR046C",334,81.86,52.01,TRUE,"Chr-10",0.72
"YBR047W",175,17.85,18.56,TRUE,"Chr-10",0.79
"YBR049C",810,87.3,95.57,TRUE,"Chr-5",0.58
"YBR052C",210,230.72,187.96,TRUE,"Chr-16",0.57
"YBR053C",358,85.15,58.98,TRUE,"Chr-7",0.73
"YBR054W",344,51.08,46.93,TRUE,"Chr-14",0.59
"YBR055C",899,14.93,39.91,FALSE,"Chr-12",0.55
"YBR056W",501,56.91,72.59,TRUE,"Chr-14",0.69
"YBR057C",366,28.02,30.66,FALSE,"Chr-9",0.56
"YBR058C",781,44.08,61.57,TRUE,"Chr-11",0.8
"YBR058CA",80,343.31,185.17,TRUE,"Chr-5",0.59
"YBR059C",1108,43.8,76,TRUE,"Chr-3",0.55
"YBR060C",620,20.89,41.52,FALSE,"Chr-8",0.76
"YBR061C",310,74.43,58.74,TRUE,"Chr-2",0.64
"YBR062C",180,72.93,51.4,FALSE,"Chr-4",0.7
"YBR065C",364,19.58,36.64,TRUE,"Chr-13",0.72
"YBR066C",220,58.19,48.1,FALSE,"Chr-14",0.72
"YBR067C",210,485.68,225.69,FALSE,"Chr-4",0.7
"YBR068C",609,189.05,277.84,TRUE,"Chr-3",0.61
"YBR069C",619,160.06,270.96,TRUE,"Chr-12",0.65
"YBR070C",237,33.32,48.59,TRUE,"Chr-1",0.66
"YBR071W",211,81.16,48.98,TRUE,"Chr-16",0.52
"YBR072W",214,101.12,58.64,TRUE,"Chr-3",0.76
"YBR073W",958,32.54,79.83,FALSE,"Chr-13",0.5
"YBR074W",976,46,84.92,TRUE,"Chr-16",0.69
"YBR077C",162,80.51,70.18,FALSE,"Chr-7",0.53
"YBR078W",429,1864.88,1212.94,TRUE,"Chr-2",0.63
"YBR079C",964,260.78,326.79,TRUE,"Chr-5",0.79
"YBR080C",758,109.25,111.22,TRUE,"Chr-5",0.61
"YBR081C",1332,18.21,43.38,FALSE,"Chr-3",0.69
"YBR082C",148,1234,511.11,TRUE,"Chr-15",0.64
"YBR083W",486,49.9,53.37,TRUE,"Chr-6",0.71
"YBR084W",975,153.68,266.87,TRUE,"Chr-1",0.76
"YBR085CA",85,335.23,203.23,FALSE,"Chr-8",0.58
"YBR085W",307,23.95,23.57,FALSE,"Chr-7",0.69
"YBR086C",946,83.76,173.5,TRUE,"Chr-6",0.73
"YBR087W",354,51.3,59.92,TRUE,"Chr-6",0.52
"YBR088C",258,279.53,176.64,TRUE,"Chr-16",0.78
"YBR091C",109,77.21,62.31,TRUE,"Chr-11",0.68
"YBR094W",753,32.28,44.71,FALSE,"Chr-5",0.54
"YBR095C",430,24.56,33.99,TRUE,"Chr-15",0.8
"YBR096W",230,139.64,153.21,TRUE,"Chr-13",0.72
"YBR097W",1454,8.27,26.88,FALSE,"Chr-7",0.65
"YBR098W",691,6.34,13.46,TRUE,"Chr-15",0.69
"YBR101C",290,117.92,105.05,TRUE,"Chr-12",0.78
"YBR102C",753,29.11,39.35,TRUE,"Chr-14",0.55
"YBR103W",535,22.51,34.59,FALSE,"Chr-3",0.51
"YBR104W",329,43.94,45.03,TRUE,"Chr-14",0.69
"YBR105C",362,21.48,31,TRUE,"Chr-6",0.76
"YBR106W",188,1217.17,1163.63,TRUE,"Chr-14",0.57
"YBR107C",245,6.69,20.89,FALSE,"Chr-13",0.72
"YBR108W",947,17.81,21.52,FALSE,"Chr-10",0.67
"YBR109C",147,739.41,403.77,FALSE,"Chr-3",0.75
"YBR110W",449,38.99,66.1,FALSE,"Chr-3",0.78
"YBR111C",231,208.09,187.49,FALSE,"Chr-15",0.68
"YBR111WA",96,101.03,86.64,FALSE,"Chr-2",0.71
"YBR114W",790,7.35,17.63,TRUE,"Chr-15",0.58
"YBR115C",1392,90.97,118.8,FALSE,"Chr-15",0.54
"YBR119W",298,28.03,31.05,TRUE,"Chr-15",0.67
"YBR120C",162,50.43,38.28,FALSE,"Chr-15",0.7
"YBR121C",667,631.15,714.69,TRUE,"Chr-14",0.64
"YBR122C",177,98.98,94.54,FALSE,"Chr-9",0.77
"YBR123C",649,23.67,31.17,FALSE,"Chr-4",0.61
"YBR125C",393,29.79,47.96,TRUE,"Chr-2",0.73
"YBR126C",495,312.37,206.8,TRUE,"Chr-3",0.71
"YBR127C",517,1125.03,1018.95,TRUE,"Chr-3",0.57
"YBR128C",344,2.83,5.72,FALSE,"Chr-5",0.76
"YBR129C",328,24.49,46.81,FALSE,"Chr-10",0.52
"YBR130C",425,48.37,78.98,TRUE,"Chr-7",0.52
"YBR131W",704,8.77,16.99,TRUE,"Chr-8",0.54
"YBR132C",596,18.99,33.86,FALSE,"Chr-14",0.58
"YBR133C",827,19.4,67.84,FALSE,"Chr-8",0.77
"YBR135W",150,119.6,83.34,TRUE,"Chr-4",0.62
"YBR136W",2368,4.14,25.81,FALSE,"Chr-11",0.56
"YBR137W",179,131.43,83.03,FALSE,"Chr-2",0.51
"YBR138C",524,13.69,17.09,FALSE,"Chr-7",0.56
"YBR139W",508,87.15,89.52,FALSE,"Chr-11",0.71
"YBR140C",3092,12.57,63.73,FALSE,"Chr-2",0.58
"YBR141C",337,21.05,21.47,TRUE,"Chr-12",0.7
"YBR142W",773,47.94,71.18,TRUE,"Chr-11",0.55
"YBR143C",437,517.55,490.01,TRUE,"Chr-13",0.65
"YBR145W",351,19.68,23.98,TRUE,"Chr-16",0.77
"YBR146W",278,77.17,92.23,TRUE,"Chr-12",0.56
"YBR148W",609,2.51,4.69,FALSE,"Chr-15",0.73
"YBR149W",344,249.29,208.59,TRUE,"Chr-10",0.72
"YBR151W",316,83.14,116.03,TRUE,"Chr-13",0.51
"YBR152W",291,19.06,22.66,FALSE,"Chr-5",0.61
"YBR153W",244,13.94,28.04,FALSE,"Chr-3",0.62
"YBR154C",215,370.63,233.49,TRUE,"Chr-15",0.55
"YBR155W",385,76.05,62.64,FALSE,"Chr-14",0.75
"YBR156C",698,8.46,18.33,TRUE,"Chr-7",0.74
"YBR157C",255,25.74,38.02,TRUE,"Chr-5",0.76
"YBR158W",549,75.87,240.97,TRUE,"Chr-13",0.75
"YBR159W",347,215.62,218.84,TRUE,"Chr-16",0.59
"YBR160W",298,90.66,67.55,TRUE,"Chr-5",0.57
"YBR161W",376,22.75,31.28,TRUE,"Chr-14",0.68
"YBR162C",455,656.55,590.04,TRUE,"Chr-5",0.68
"YBR162WA",65,628.57,383.12,TRUE,"Chr-2",0.63
"YBR163W",585,5.09,31.97,FALSE,"Chr-3",0.6
"YBR164C",183,238.1,156.79,TRUE,"Chr-16",0.51
"YBR165W",277,32.3,28.96,TRUE,"Chr-2",0.78
"YBR166C",452,64.6,55.64,TRUE,"Chr-7",0.73
"YBR167C",140,39.24,32.69,TRUE,"Chr-2",0.58
"YBR168W",413,7.7,24.55,FALSE,"Chr-9",0.5
"YBR169C",693,41.36,53.33,FALSE,"Chr-1",0.72
"YBR170C",580,65.89,70.94,TRUE,"Chr-13",0.7
"YBR171W",206,160.12,144.06,TRUE,"Chr-12",0.57
"YBR172C",740,47.99,60.32,TRUE,"Chr-2",0.64
"YBR173C",148,280.74,124.7,TRUE,"Chr-15",0.57
"YBR175W",315,22.38,35,FALSE,"Chr-2",0.63
"YBR176W",312,35.88,33.13,FALSE,"Chr-4",0.76
"YBR177C",451,85.06,90.03,FALSE,"Chr-8",0.64
"YBR179C",855,21.98,37.88,TRUE,"Chr-14",0.7
"YBR182C",452,2.15,3.81,FALSE,"Chr-1",0.52
"YBR183W",316,14.78,30.84,FALSE,"Chr-12",0.79
"YBR184W",523,4.57,6.96,FALSE,"Chr-4",0.61
"YBR185C",278,44.56,39.48,TRUE,"Chr-10",0.69
"YBR187W",280,158.02,191.24,TRUE,"Chr-2",0.62
"YBR188C",140,47.11,31.29,FALSE,"Chr-7",0.66
"YBR189W",195,6351.14,4449.31,TRUE,"Chr-12",0.65
"YBR192W",377,31.36,39.29,TRUE,"Chr-10",0.61
"YBR193C",223,31.58,36.41,TRUE,"Chr-1",0.53
"YBR194W",123,28.6,38.01,FALSE,"Chr-6",0.8
"YBR195C",422,21.22,26.94,FALSE,"Chr-4",0.72
"YBR196C",554,2748.26,2342.96,FALSE,"Chr-16",0.65
"YBR197C",217,26.42,37.65,TRUE,"Chr-13",0.66
"YBR198C",798,53.73,69.01,TRUE,"Chr-16",0.5
"YBR199W",464,94.64,130.67,FALSE,"Chr-3",0.6
"YBR200W",551,32.83,48.59,TRUE,"Chr-7",0.64
"YBR201W",211,22.02,28.92,FALSE,"Chr-6",0.67
"YBR202W",845,45.79,66.4,TRUE,"Chr-2",0.51
"YBR203W",924,1.11,5.38,FALSE,"Chr-6",0.6
"YBR204C",375,23.7,33.6,TRUE,"Chr-7",0.73
"YBR205W",404,136.16,177.37,TRUE,"Chr-11",0.79
"YBR207W",465,54.24,67.31,TRUE,"Chr-4",0.51
"YBR208C",1835,17.88,47.39,FALSE,"Chr-5",0.75
"YBR210W",142,63.51,66.54,TRUE,"Chr-6",0.73
"YBR211C",324,22.3,26.43,TRUE,"Chr-7",0.73
"YBR212W",672,44.77,48.34,FALSE,"Chr-16",0.76
"YBR213W",274,18.7,16.7,FALSE,"Chr-8",0.7
"YBR214W",527,34.01,28.58,FALSE,"Chr-2",0.59
"YBR215W",625,21.73,24.1,FALSE,"Chr-11",0.51
"YBR216C",674,24.99,37.09,TRUE,"Chr-14",0.77
"YBR217W",186,11.46,24.08,FALSE,"Chr-5",0.72
"YBR220C",560,28.07,58.27,FALSE,"Chr-15",0.68
"YBR221C",366,649.27,617.21,FALSE,"Chr-12",0.59
"YBR222C",543,87.59,92.36,FALSE,"Chr-9",0.53
"YBR223C",544,6.21,15.2,FALSE,"Chr-12",0.53
"YBR225W",900,8.78,19.8,FALSE,"Chr-7",0.67
"YBR227C",520,36.96,40.51,FALSE,"Chr-13",0.53
"YBR228W",304,8.72,22.5,FALSE,"Chr-5",0.68
"YBR229C",954,46.95,82.59,TRUE,"Chr-9",0.64
"YBR230C",134,185.38,124.87,TRUE,"Chr-14",0.63
"YBR230WA",66,65.67,27.59,FALSE,"Chr-15",0.55
"YBR231C",303,23.26,20.79,TRUE,"Chr-15",0.59
"YBR233W",413,28.52,21.93,FALSE,"Chr-8",0.73
"YBR233WA",94,69,52.88,FALSE,"Chr-8",0.57
"YBR234C",384,196.65,181.74,TRUE,"Chr-6",0.66
"YBR235W",1120,11.45,37.44,TRUE,"Chr-15",0.7
"YBR236C",436,44.25,58.47,TRUE,"Chr-2",0.79
"YBR237W",849,7.1,23.54,FALSE,"Chr-2",0.8
"YBR238C",731,18.36,37.43,TRUE,"Chr-12",0.7
"YBR239C",529,5.63,13.86,FALSE,"Chr-2",0.5
"YBR241C",488,16.05,22.39,FALSE,"Chr-12",0.65
"YBR242W",238,57.74,56.25,TRUE,"Chr-4",0.51
"YBR243C",448,49.08,72.72,TRUE,"Chr-7",0.52
"YBR244W",162,221.45,150.38,FALSE,"Chr-5",0.58
"YBR245C",1129,64.57,82.61,FALSE,"Chr-7",0.7
"YBR246W",387,25.43,46.04,FALSE,"Chr-5",0.55
"YBR247C",483,97.6,82.53,TRUE,"Chr-11",0.8
"YBR248C",552,107.73,80.96,FALSE,"Chr-3",0.6
"YBR249C",370,598.74,457.57,FALSE,"Chr-4",0.8
"YBR251W",307,56.45,49.54,FALSE,"Chr-1",0.74
"YBR252W",147,264.76,186.48,TRUE,"Chr-2",0.6
"YBR253W",121,43.91,72.81,FALSE,"Chr-15",0.75
"YBR254C",175,65.2,63.84,TRUE,"Chr-14",0.73
"YBR255CA",120,26.46,26.66,TRUE,"Chr-9",0.74
"YBR255W",694,8.47,19.5,FALSE,"Chr-12",0.66
"YBR256C",238,73.18,116.83,TRUE,"Chr-6",0.56
"YBR257W",279,30.12,29.28,TRUE,"Chr-16",0.59
"YBR258C",142,26.14,15.25,TRUE,"Chr-11",0.78
"YBR259W",688,3.66,18.74,TRUE,"Chr-3",0.73
"YBR260C",666,26.4,45.08,TRUE,"Chr-3",0.63
"YBR261C",232,131.96,117.1,FALSE,"Chr-8",0.54
"YBR262C",106,69.25,89.61,TRUE,"Chr-12",0.57
"YBR263W",490,321.81,355.05,TRUE,"Chr-5",0.58
"YBR264C",199,52.78,50.95,TRUE,"Chr-9",0.63
"YBR265W",320,64.71,72.44,FALSE,"Chr-15",0.55
"YBR267W",393,84.06,68.12,TRUE,"Chr-15",0.61
"YBR268W",105,145.62,96.56,TRUE,"Chr-6",0.5
"YBR269C",138,143.99,90.23,TRUE,"Chr-1",0.72
"YBR271W",419,23.32,35.47,TRUE,"Chr-15",0.5
"YBR272C",480,31.76,40.5,TRUE,"Chr-5",0.66
"YBR273C",436,60.21,53.96,TRUE,"Chr-13",0.65
"YBR274W",527,11.8,31.1,TRUE,"Chr-8",0.56
"YBR275C",1916,11.89,34.81,TRUE,"Chr-1",0.53
"YBR276C",807,7.26,63,TRUE,"Chr-4",0.79
"YBR278W",201,30.07,37.71,FALSE,"Chr-15",0.61
"YBR279W",445,71.63,77.53,TRUE,"Chr-13",0.74
"YBR280C",637,9.59,14.37,FALSE,"Chr-6",0.58
"YBR281C",878,31.4,45.52,FALSE,"Chr-3",0.78
"YBR282W",146,114.8,84.61,TRUE,"Chr-15",0.51
"YBR283C",490,277.58,323.92,FALSE,"Chr-1",0.66
"YBR284W",797,1.14,4.57,TRUE,"Chr-6",0.61
"YBR286W",537,702.53,744.19,FALSE,"Chr-10",0.78
"YBR287W",427,58.31,100.62,TRUE,"Chr-7",0.57
"YBR288C",483,44.33,64.6,TRUE,"Chr-3",0.63
"YBR289W",905,22.67,31.81,FALSE,"Chr-5",0.77
"YBR290W",321,50.92,42.01,FALSE,"Chr-2",0.79
"YBR291C",299,15.39,24.69,TRUE,"Chr-3",0.72
"YBR293W",474,2.84,19.31,TRUE,"Chr-4",0.74
"YBR295W",1216,1.98,16.96,TRUE,"Chr-4",0.62
"YBR296C",574,9.63,11.49,FALSE,"Chr-5",0.51
"YCL001W",188,204.75,179.06,TRUE,"Chr-7",0.76
"YCL002C",263,11.63,49.78,TRUE,"Chr-16",0.53
"YCL004W",521,4.25,15.49,TRUE,"Chr-10",0.67
"YCL005W",256,15.87,32.49,TRUE,"Chr-12",0.72
"YCL005WA",73,563.77,359.34,FALSE,"Chr-3",0.58
"YCL008C",385,17.33,32.34,TRUE,"Chr-12",0.78
"YCL009C",309,448.98,500.59,FALSE,"Chr-12",0.68
"YCL010C",259,33.9,69.36,TRUE,"Chr-9",0.58
"YCL011C",427,119.75,177.04,FALSE,"Chr-3",0.51
"YCL012C",134,35.83,38.2,FALSE,"Chr-8",0.51
"YCL014W",1636,22.19,51.98,TRUE,"Chr-13",0.53
"YCL016C",380,17.78,19.43,FALSE,"Chr-3",0.6
"YCL017C",497,134.14,144.18,TRUE,"Chr-10",0.58
"YCL024W",1037,8.5,26.34,FALSE,"Chr-4",0.57
"YCL025C",633,26.4,32.58,TRUE,"Chr-11",0.7
"YCL026CB",193,25.61,13.26,FALSE,"Chr-13",0.66
"YCL027W",512,13.72,17.49,FALSE,"Chr-12",0.65
"YCL028W",405,289.57,150.81,TRUE,"Chr-15",0.55
"YCL029C",440,28.08,33.44,TRUE,"Chr-4",0.75
"YCL030C",799,298.2,317.71,FALSE,"Chr-15",0.52
"YCL031C",297,101.07,121.8,TRUE,"Chr-12",0.77
